comment,label,label_id
غذا خیلی سرد بود در صورتیکه فاصله ما خیلی کم است,SAD,1.0
بهتره بتونیم ران یا سینه رو خودمون انتخاب کنیم,HAPPY,0.0
غذا بد بود حالم خیییییلی بده. دل دردو دل پیچه. معلوم نیست چی توش ریختن. افتضاااااااااح بود. دوساعته ک حالم بده.,SAD,1.0
با سلام سابق بر این بسته بندی از کیفیت بهتری برخوردار بود. ولی در حال حاضر ایراداتی وجود داره. به طور نمونه نوشابه قوطی فاقد نی هست، چنگال برای سرو سیب زمینی نداره، دستمال کاغذی هم در بسته بندی نیست.,SAD,1.0
سلام، خیلی ممنون و متشکرم,HAPPY,0.0
خیلی زود رسید و ممنون م ازشون,HAPPY,0.0
مواد پیتزا بسیااار کم بود با اینکه قیمت اصلا پایین نیست. ولی کلا طعم پیتزا خوب و تازه بود,HAPPY,0.0
کیفیت زیاد خوب نبود،,HAPPY,0.0
مرغی که واسه ما آوردن بو میداد انگار که مونده بود!,SAD,1.0
همه چی خوب بود. ولی اگه تخفیف نداشتم اصلا خرید نمی‌کردم چون گرونه برام:),HAPPY,0.0
اصلا خوب نبود و اصلا مخلفات نداشت خمیر خمیر بود من راضی نبودم,SAD,1.0
غذا بسیار لذیذ با طعمی فوق العاده بود جوجه بسیار خوشمزه و کباب بینظیر بود. فقط برنج کمی شفته شده بود که مزه غذا این کمیت رو از بین برد و مزه را بینظیر نشون داد سوپ بحدی عالی بود که خیلی دوست داشتم بازم بخرم و بخورم. خواهشا تو منوتون سوپ یک کیلویی هم بزارید. از مدیر محترم و کارکنان عزیز غنچه سپاسگزارم,HAPPY,0.0
تحویل اسنپ فود بسیار دیر و غذا سرد شده بود، اصلا از دلیوری راضی نبودم,SAD,1.0
فکر نمی‌کردم برندی مثل رفتاری هم بتونه غذای افتضاح آماده کنه. سوپ مزخرف، کته مزخرف، خورشت مزخرف، حتی سالاد شیرازی بدون هیچ آبلیمویی. واقعا برای اسم این برند متاسفم,SAD,1.0
کیفیت پایین‌تر از پایین، در حد یه ساندویچ ۸-۹ تومنی بود!,SAD,1.0
داغ و تازه و خوش عطر به دستم رسید. ازتون خواسته بودم که نان‌ها رو برش نزنین، ممنونم که توجه کردین,HAPPY,0.0
درخواست آب مرغ داده بودم که در نظر گرفته نشد نسبت به قیمت لااقل باید این موارد درخواستی مشتری منظور بشه,HAPPY,0.0
من سفارش نانه خامه‌ای دادم (ساده) اما شکلاتی اوردن,SAD,1.0
بیشتر پیتزا خمیر و پنیر بود بجای مخلفات. سس هم نذاشته بودن!,SAD,1.0
مثل همیشه سریع ودقیق,HAPPY,0.0
همه چی خوب بود فقط روغن جامد علاوه بر مغایر بودن نوع روغن قیمتش هم مشخص نبود قیمت خط زده بودن,HAPPY,0.0
هم سفارش زود رسید به دستمون هم غذاها واقعا خوشمزه و عالی بودن. به بقیه دوستان هم توصیه میکنم غذاهاشونو,HAPPY,0.0
غذای با کیفیتی بود، ولی حجم ب نجش خیلی کم بود,HAPPY,0.0
بلک فارست هیچ شباهت ظاهری با تصویر موجود در منو نداشت و البته کیفیت پایینی هم داشت. موس شکلات گویا توت فرنگی روش برای اینکه داخل جعبه قرارداده بشه برداشته شده بود چون یه جایی روی کیک بود که خالی بود معلوم بود توت فرنگی رو برداشتن. کیک پای سیب عالی بود.,SAD,1.0
خوب بود فقط خیلی بی نمک بود و ادویه نداشت,HAPPY,0.0
همیشه راضی بودم …اما ایندفعه پیتزا کهنه و مونده به نظر می‌رسید,SAD,1.0
راد عزیز، متأسفانه دقت قبل در ارسال سفارش دیده نمیشه و الان ۲ روز پشت سرهم سفارش برای من ناقص ارسال میشه. لطفا اگر اقلامی هم احینا دیگه موجود ندارین اعلام کنید شاید بخواهیم مورد دیگری جایگزین کنید و این منطقی هست که اعلام بشه و به مشتری احترام گذاشته بشه وگرنه خوب میشه از شعب دیگر هم سفارش داد.,SAD,1.0
کوکتل آرژانتینی بخاطر آب پز بودن خیلی دوست داشتم,HAPPY,0.0
غذای معمولی ای بود. تاپ-ن-ود، در حد پولش. ولی سیب زمینی سرخ کرده هایش عالی بود در هر صورت ممنون,HAPPY,0.0
اصلا فکر نمیکردم به این شدت غذا و کیفیتش پایین باشه، واقعا متاسفم، همه‌ی مواد بسیار بی کیفیت و بد مززه، من که هرروز فست فود میخورم دیگه از ۱ کیلومتری باروژ ام رد نمیشم,SAD,1.0
سفارش منو یه چیز دیگه فرستادین کلا. وقتی یه چیزی رو موجود ندارین مجبور نیستین اسمشو بزنین که بعد یه چیز دیگه جاش بزارید.,SAD,1.0
کلا یه چیزای دیگه ارسال کردند,SAD,1.0
